2026-04-06 16:34:49 - La tarea se está preparando para comenzar.
6 Abr 16:54:52 ✅ ACTUALIZADO TDV.D: 815.0 a las 12:51:38
6 Abr 17:00:01 ✅ ACTUALIZADO IBC: 6225.79 a las 12:55:03
6 Abr 17:00:01 ✅ ACTUALIZADO I.FINANCIACIÓN: 11947.98 a las 12:55:03
6 Abr 17:00:01 ✅ ACTUALIZADO I.INDUSTR: 2502.74 a las 12:55:04
6 Abr 17:05:12 ✅ ACTUALIZADO IBC: 6126.47 a las 13:03:17
6 Abr 17:05:12 ✅ ACTUALIZADO I.FINANCIACIÓN: 11716.53 a las 13:03:16
6 Abr 17:05:12 ✅ ACTUALIZADO I.INDUSTR: 2497.35 a las 13:03:17
6 Abr 17:05:12 ✅ ACTUALIZADO ABC.A: 1744.0 a las 13:00:22
6 Abr 17:05:12 ✅ ACTUALIZADO BNC: 1601.0 a las 12:53:54
6 Abr 17:05:12 ✅ ACTUALIZADO BPV: 149.25 a las 13:00:22
6 Abr 17:05:12 ✅ ACTUALIZADO BVCC: 587.0 a las 13:00:22
6 Abr 17:05:12 ✅ ACTUALIZADO BVL: 1677.0 a las 13:00:22
6 Abr 17:05:12 ✅ ACTUALIZADO CCP.B: 500.0 a las 12:53:07
6 Abr 17:05:12 ✅ ACTUALIZADO CCR: 6101.0 a las 12:53:11
6 Abr 17:05:12 ✅ ACTUALIZADO CGQ: 4240.0 a las 12:13:35
6 Abr 17:05:12 ✅ ACTUALIZADO CRM.A: 690.0 a las 12:48:42
6 Abr 17:05:12 ✅ ACTUALIZADO DOM: 820.0 a las 12:30:37
6 abr 17:05:12 ✅ ACTUALIZADO EFE: 135.0 a las 12:37:18
6 Abr 17:05:12 ✅ ACTUALIZADO ENV: 840.0 a las 12:50:14
6 Abr 17:05:12 ✅ ACTUALIZADO FNV: 360.0 a las 12:23:28
6 Abr 17:05:12 ✅ ACTUALIZADO GMC.B: 4250.0 a las 12:37:31
6 Abr 17:05:12 ✅ ACTUALIZADO ICP.B: 144.0 a las 12:48:55
6 Abr 17:05:12 ✅ ACTUALIZADO IVC.A: 845.0 a las 13:00:22
6 Abr 17:05:12 ✅ ACTUALIZADO IVC.B: 549.8 a las 12:30:10
6 Abr 17:05:12 ✅ ACTUALIZADO MPA: 105.0 a las 13:00:23
6 Abr 17:05:12 ✅ ACTUALIZADO MTC.B: 257.0 a las 12:45:56
6 Abr 17:05:12 ✅ ACTUALIZADO MVZ.A: 6500.0 a las 12:50:19
6 Abr 17:05:12 ✅ ACTUALIZADO PTN: 650.0 a las 12:50:20
6 de abril 17:05:12 ✅ ACTUALIZADO RST: 568.0 a las 12:51:07
6 abr 17:05:12 ✅ ACTUALIZADO RST.B: 449.0 a las 12:45:51
6 Abr 17:05:12 ✅ ACTUALIZADO TDV.D: 810.0 a las 12:51:38
6 Abr 17:05:12 ✅ ACTUALIZADO TPG: 23.8 a las 13:00:23
6 Abr 23:42:41 ✅ ACTUALIZADO IBC: 6126.47 a las 13:03:17
6 Abr 23:42:41 ✅ ACTUALIZADO I.FINANCIACIÓN: 11716.53 a las 13:03:16
6 Abr 23:42:41 ✅ ACTUALIZADO I.INDUSTR: 2497.35 a las 13:03:17
6 abr 23:42:41 ✅ ACTUALIZADO ABC.A: 1744.0 a las 13:00:22
6 Abr 23:42:41 ✅ ACTUALIZADO BNC: 1601.0 a las 12:53:54
6 Abr 23:42:41 ✅ ACTUALIZADO BPV: 149.25 a las 13:00:22
6 Abr 23:42:41 ✅ ACTUALIZADO BVCC: 587.0 a las 13:00:22
6 Abr 23:42:41 ✅ ACTUALIZADO BVL: 1677.0 a las 13:00:22
6 Abr 23:42:41 ✅ ACTUALIZADO CCP.B: 500.0 a las 12:53:07
6 Abr 23:42:41 ✅ ACTUALIZADO CCR: 6101.0 a las 12:53:11
6 abr 23:42:41 ✅ ACTUALIZADO CGQ: 4240.0 a las 12:13:35
6 abr 23:42:41 ✅ ACTUALIZADO CRM.A: 690.0 a las 12:48:42
6 de abril 23:42:41 ✅ ACTUALIZADO DOM: 820.0 a las 12:30:37
6 abr 23:42:41 ✅ ACTUALIZADO EFE: 135.0 a las 12:37:18
6 Abr 23:42:41 ✅ ACTUALIZADO ENV: 840.0 a las 12:50:14
6 Abr 23:42:41 ✅ ACTUALIZADO FNC: 1275.0 a las 12:52:36
6 abr 23:42:41 ✅ ACTUALIZADO FNV: 360.0 a las 12:23:28
6 de abril 23:42:41 ✅ ACTUALIZADO GMC.B: 4250.0 a las 12:37:31
6 Abr 23:42:41 ✅ ACTUALIZADO GZL: 800.0 a las 12:44:58
6 Abr 23:42:41 ✅ ACTUALIZADO ICP.B: 144.0 a las 12:48:55
6 Abr 23:42:41 ✅ ACTUALIZADO IVC.A: 845.0 a las 13:00:22
6 Abr 23:42:41 ✅ ACTUALIZADO IVC.B: 549.8 a las 12:30:10
