Date,Precio_Inicio,Alto,Bajo,Precio_Cierre
2026-03-09,4250.0,4600.0,4560.0,4250.0
2026-03-10,4250.0,4600.0,4500.0,4250.0
2026-03-11,4250.0,4500.0,4250.0,4250.0
2026-03-12,4250.0,4500.0,4490.0,4250.0
2026-03-13,4250.0,4499.99,4499.99,4250.0
2026-03-16,4250.0,4599.99,4599.99,4250.0
2026-03-17,4250.0,4599.99,4590.0,4250.0
2026-03-18,4250.0,4250.0,4250.0,4250.0
2026-03-20,4250.0,4599.99,4250.0,4250.0
2026-03-23,4250.0,4600.0,4599.0,4250.0
2026-03-24,4250.0,4600.0,4600.0,4250.0
2026-03-25,4250.0,4565.0,4250.0,4250.0
2026-03-26,4250.0,4600.0,4600.0,4250.0
2026-03-27,4250.0,4600.0,4600.0,4250.0
2026-03-30,4250.0,4600.0,4600.0,4250.0
2026-03-31,4250.0,4600.0,4600.0,4250.0
2026-04-01,4250.0,4600.0,4600.0,4250.0
2026-04-06,4250.0,4600.0,4600.0,4250.0
