Fecha,Hora_Log,TKR,Precio,Hora_BVC
6 abr,23:42:41,CRM.A:,690.0,12:48:42
6 abr,23:42:41,EFE:,135.0,12:37:18
6 Abr,23:42:41,ENV:,840.0,12:50:14
6 Abr,23:42:41,FNC:,1275.0,12:52:36
6 abr,23:42:41,FNV:,360.0,12:23:28
6 Abr,23:42:41,GZL:,800.0,12:44:58
6 Abr,23:42:41,ICP.B:,144.0,12:48:55
6 Abr,23:42:41,IVC.A:,845.0,13:00:22
6 Abr,23:42:41,IVC.B:,549.8,12:30:10
6 Abr,23:42:41,MPA:,105.0,13:00:23
6 Abr,23:42:41,MTC.B:,257.0,12:45:56
6 Abr,23:42:41,MVZ.A:,6500.0,12:50:19
6 Abr,23:42:41,MVZ.B:,7494.0,12:52:09
6 Abr,23:42:41,PCP.B:,449.0,12:52:59
6 Abr,23:42:41,PGR:,114.0,12:52:37
6 Abr,23:42:41,PIV.B:,50000.0,12:50:40
6 Abr,23:42:41,PTN:,650.0,12:50:20
6 abr,23:42:41,RST.B:,449.0,12:45:51
6 Abr,23:42:41,SVS:,1293.5,12:45:05
6 Abr,23:42:41,TDV.D:,810.0,12:51:38
6 Abr,23:42:41,TPG:,23.8,13:00:23
7 Abr,00:03:24,IBC:,6126.47,13:03:17
7 Abr,00:03:24,I.FINANCIACIÓN:,11716.53,13:03:16
7 Abr,00:03:24,I.INDUSTR:,2497.35,13:03:17
7 Abr,00:03:24,ABC.A:,1744.0,13:00:22
7 Abr,00:03:24,BNC:,1601.0,12:53:54
7 Abr,00:03:24,BPV:,149.25,13:00:22
7 Abr,00:03:24,BVCC:,587.0,13:00:22
7 Abr,00:03:24,BVL:,1677.0,13:00:22
7 Abr,00:03:24,CCP.B:,500.0,12:53:07
7 Abr,00:03:24,CCR:,6101.0,12:53:11
7 Abr,00:03:24,CGQ:,4240.0,12:13:35
7 Abr,00:03:24,CRM.A:,690.0,12:48:42
7 Abr,00:03:24,DOM:,820.0,12:30:37
7 Abr,00:03:24,EFE:,135.0,12:37:18
7 Abr,00:03:24,ENV:,840.0,12:50:14
7 Abr,00:03:24,FNC:,1275.0,12:52:36
7 Abr,00:03:24,FNV:,360.0,12:23:28
7 Abr,00:03:24,GMC.B:,4250.0,12:37:31
7 Abr,00:03:24,GZL:,800.0,12:44:58
7 Abr,00:03:24,ICP.B:,144.0,12:48:55
7 Abr,00:03:24,IVC.A:,845.0,13:00:22
7 Abr,00:03:24,IVC.B:,549.8,12:30:10
7 Abr,00:03:24,MPA:,105.0,13:00:23
7 Abr,00:03:24,MTC.B:,257.0,12:45:56
7 Abr,00:03:24,MVZ.A:,6500.0,12:50:19
7 Abr,00:03:24,MVZ.B:,7494.0,12:52:09
7 Abr,00:03:24,PCP.B:,449.0,12:52:59
7 Abr,00:03:24,PGR:,114.0,12:52:37
7 Abr,00:03:24,PIV.B:,50000.0,12:50:40
7 Abr,00:03:24,PTN:,650.0,12:50:20
7 Abr,00:03:24,RST:,568.0,12:51:07
7 Abr,00:03:24,RST.B:,449.0,12:45:51
7 Abr,00:03:24,SVS:,1293.5,12:45:05
7 Abr,00:03:24,TDV.D:,810.0,12:51:38
7 Abr,00:03:24,TPG:,23.8,13:00:23
7 Abr,12:31:56,IBC:,6126.47,08:30:02
7 Abr,12:31:56,I.FINANCIACIÓN:,11716.53,08:30:02
7 Abr,12:31:56,I.INDUSTR:,2497.35,08:30:02
7 Abr,12:37:11,IBC:,6126.47,08:35:02
7 Abr,12:37:11,I.FINANCIE:,11716.53,08:35:02
7 Abr,12:37:11,I.INDUSTR:,2497.35,08:35:02
7 Abr,12:42:16,IBC:,6126.47,08:40:02
7 Abr,12:42:16,I.FINANCIACIÓN:,11716.53,08:40:02
7 Abr,12:42:16,I.INDUSTR:,2497.35,08:40:02
7 Abr,12:47:25,IBC:,6126.47,08:45:02
7 Abr,12:47:25,I.FINANCIE:,11716.53,08:45:02
7 Abr,12:47:25,I.INDUSTR:,2497.35,08:45:02
7 Abr,12:52:35,IBC:,6126.47,08:50:02
7 Abr,12:52:35,I.FINANCIE:,11716.53,08:50:02
7 Abr,12:52:35,I.INDUSTR:,2497.35,08:50:02
7 Abr,12:57:44,IBC:,6126.47,08:55:02
7 Abr,12:57:44,I.FINANCIACIÓN:,11716.53,08:55:02
7 Abr,12:57:44,I.INDUSTR:,2497.35,08:55:02
7 Abr,13:02:56,IBC:,6126.47,09:02:48
7 Abr,13:02:56,I.FINANCIACIÓN:,11716.53,09:02:48
7 Abr,13:02:56,I.INDUSTR:,2497.35,09:02:48
7 Abr,13:02:56,BNC:,1601.0,09:02:48
7 Abr,13:02:56,EFE:,135.0,09:00:53
7 Abr,13:02:56,PIV.B:,50000.0,09:00:40
7 Abr,13:08:13,IBC:,6186.88,09:06:51
7 Abr,13:08:13,I.FINANCIACIÓN:,11861.19,09:06:51
7 Abr,13:08:13,I.INDUSTR:,2497.35,09:06:51
7 Abr,13:08:13,ABC.A:,1747.5,09:06:08
7 Abr,13:08:13,BNC:,1601.0,09:06:21
7 Abr,13:08:13,BPV:,149.25,09:06:34
7 Abr,13:08:13,BVCC:,615.0,09:06:51
7 Abr,13:08:13,BVL:,1975.0,09:06:51
7 Abr,13:13:17,IBC:,6202.76,09:11:17
7 Abr,13:13:17,I.FINANCIE:,11853.23,09:11:17
7 Abr,13:13:17,I.INDUSTR:,2536.22,09:11:17
7 Abr,13:13:17,BPV:,149.0,09:11:17
7 Abr,13:13:17,BVCC:,615.0,09:10:06
7 Abr,13:13:17,CCP.B:,549.98,09:09:49
7 Abr,13:13:17,RST:,600.0,09:10:44
7 Abr,13:13:17,RST.B:,480.0,09:11:04
7 Abr,13:13:17,SVS:,1300.0,09:08:49
7 Abr,13:18:26,IBC:,6199.79,09:18:04
7 Abr,13:18:26,I.FINANCIACIÓN:,11838.97,09:18:04
7 Abr,13:18:26,I.INDUSTR:,2542.27,09:18:04
7 Abr,13:18:26,BPV:,149.0,09:16:27
7 Abr,13:18:26,BVCC:,593.0,09:16:27
7 Abr,13:18:26,CCP.B:,549.98,09:18:22
7 Abr,13:18:26,CCR:,4881.0,09:16:35
7 Abr,13:18:26,CGQ:,4240.0,09:16:42
7 Abr,13:18:26,CRM.A:,689.99,09:16:51
7 Abr,13:18:26,DOM:,819.5,09:17:01
7 Abr,13:18:26,EFE:,135.0,09:17:03
7 Abr,13:18:26,ENV:,847.99,09:18:03
7 Abr,13:18:26,FNC:,1275.0,09:18:04
7 Abr,13:18:26,FNV:,370.0,09:18:04
7 Abr,13:18:26,ICP.B:,144.0,09:14:43
7 Abr,13:18:26,MPA:,110.0,09:15:14
7 Abr,13:18:26,RST:,600.0,09:16:10
7 Abr,13:23:35,IBC:,6273.23,09:22:51
7 Abr,13:23:35,I.FINANCIACIÓN:,12115.86,09:22:51
7 Abr,13:23:35,I.INDUSTR:,2456.86,09:22:51
7 Abr,13:23:35,BPV:,149.0,09:18:38
7 Abr,13:23:35,FNC:,1275.0,09:23:04
7 Abr,13:23:35,GZL:,795.0,09:18:27
7 Abr,13:23:35,ICP.B:,144.0,09:18:39
7 Abr,13:23:35,IVC.A:,998.0,09:18:56
7 Abr,13:23:35,MPA:,110.0,09:19:54
7 Abr,13:23:35,MTC.B:,308.0,09:19:14
7 Abr,13:23:35,MVZ.A:,7500.0,09:19:23
7 Abr,13:23:35,MVZ.B:,7494.0,09:22:18
7 Abr,13:23:35,PCP.B:,449.0,09:21:21
7 Abr,13:23:35,PGR:,110.5,09:19:55
7 Abr,13:23:35,PTN:,690.0,09:19:55
7 Abr,13:23:35,RST:,570.0,09:19:56
7 Abr,13:23:35,RST.B:,449.0,09:22:50
7 Abr,13:23:35,SVS:,1050.0,09:19:56
7 Abr,13:23:35,TDV.D:,900.0,09:19:56
7 Abr,13:23:35,TPG:,21.95,09:23:27
7 Abr,13:28:40,IBC:,6179.94,09:28:38
7 Abr,13:28:40,I.FINANCIE:,11853.23,09:28:38
7 Abr,13:28:40,I.INDUSTR:,2490.02,09:28:38
7 Abr,13:28:40,BPV:,149.0,09:26:20
7 Abr,13:28:40,BVCC:,615.0,09:25:59
7 abr,13:28:40,EFE:,135.0,09:26:33
7 Abr,13:28:40,MPA:,109.0,09:28:38
7 Abr,13:28:40,MVZ.A:,6500.0,09:23:57
7 Abr,13:28:40,PGR:,120.0,09:27:10
7 Abr,13:28:40,RST:,599.0,09:28:38
7 Abr,13:28:40,RST.B:,480.0,09:25:59
7 Abr,13:28:40,TPG:,21.95,09:26:50
7 Abr,13:33:54,IBC:,6147.86,09:31:30
7 Abr,13:33:54,I.FINANCIE:,11821.4,09:31:30
7 Abr,13:33:54,I.INDUSTR:,2452.0,09:31:30
7 Abr,13:33:54,BNC:,1601.0,09:30:15
7 Abr,13:33:54,BPV:,148.0,09:30:29
7 Abr,13:33:54,BVCC:,615.0,09:29:56
7 Abr,13:33:54,DOM:,819.5,09:29:56
7 Abr,13:33:54,ICP.B:,144.0,09:30:11
7 Abr,13:33:54,IVC.A:,998.0,09:32:12
7 Abr,13:33:54,MPA:,100.0,09:31:12
7 Abr,13:33:54,RST:,568.0,09:31:30
7 Abr,13:33:54,TPG:,21.95,09:29:51
7 Abr,13:39:03,IBC:,6140.19,09:38:39
7 Abr,13:39:03,I.FINANCIE:,11807.14,09:38:39
7 Abr,13:39:03,I.INDUSTR:,2448.52,09:38:39
7 Abr,13:39:03,BNC:,1601.0,09:38:05
7 Abr,13:39:03,BPV:,148.0,09:38:39
7 Abr,13:39:03,BVCC:,593.0,09:38:05
7 Abr,13:39:03,CCR:,6800.0,09:37:31
7 Abr,13:39:03,CRM.A:,689.0,09:38:05
7 Abr,13:39:03,EFE:,158.0,09:38:05
7 Abr,13:39:03,MPA:,100.0,09:38:05
7 Abr,13:39:03,MTC.B:,308.0,09:34:25
7 Abr,13:39:03,PGR:,110.5,09:38:05
7 Abr,13:39:03,RST:,568.0,09:38:05
7 Abr,13:39:03,TDV.D:,890.0,09:38:24
7 Abr,13:39:03,TPG:,21.9,09:38:05
7 Abr,13:44:14,IBC:,6104.53,09:43:20
7 Abr,13:44:14,I.FINANCIACIÓN:,11717.59,09:43:20
7 Abr,13:44:14,I.INDUSTR:,2452.05,09:43:20
7 Abr,13:44:14,BNC:,1601.0,09:39:26
7 Abr,13:44:14,BPV:,147.5,09:41:01
7 Abr,13:44:14,BVCC:,615.0,09:41:01
7 Abr,13:44:14,DOM:,876.55,09:40:07
7 Abr,13:44:14,EFE:,158.0,09:40:38
7 Abr,13:44:14,ENV:,847.99,09:39:55
7 Abr,13:44:14,FNV:,370.0,09:41:01
7 Abr,13:44:14,GZL:,795.0,09:40:50
7 Abr,13:44:14,MVZ.A:,6899.0,09:43:20
7 Abr,13:44:14,MVZ.B:,6500.0,09:42:17
7 Abr,13:44:14,RST.B:,449.0,09:41:41
7 Abr,13:44:14,TPG:,21.9,09:41:01
7 Abr,13:49:28,IBC:,6104.53,09:47:26
7 Abr,13:49:28,I.FINANCIACIÓN:,11717.59,09:47:26
7 Abr,13:49:28,I.INDUSTR:,2452.05,09:47:26
7 Abr,13:49:28,BVCC:,615.0,09:46:07
7 Abr,13:49:28,CCP.B:,549.98,09:46:18
7 Abr,13:49:28,MVZ.A:,6899.0,09:46:27
7 Abr,13:49:28,RST:,568.0,09:47:26
7 Abr,13:54:34,IBC:,6087.6,09:54:33
7 Abr,13:54:34,I.FINANCIE:,11677.04,09:54:33
7 Abr,13:54:34,I.INDUSTR:,2452.05,09:54:33
7 Abr,13:54:34,BNC:,1580.0,09:54:11
7 Abr,13:54:34,BPV:,147.0,09:52:36
7 Abr,13:54:34,BVCC:,615.0,09:54:07
7 abr,13:54:34,EFE:,158.0,09:54:33
7 Abr,13:54:34,GZL:,795.0,09:54:23
7 Abr,13:54:34,ICP.B:,144.0,09:49:51
7 Abr,13:54:34,IVC.B:,500.0,09:49:51
7 Abr,13:54:34,MPA:,100.0,09:49:51
7 Abr,13:54:34,MTC.B:,308.0,09:49:51
7 Abr,13:54:34,PCP.B:,449.0,09:49:51
7 Abr,13:54:34,PGR:,120.0,09:49:52
7 Abr,13:54:34,RST:,568.0,09:54:33
7 Abr,13:54:34,RST.B:,449.0,09:52:37
7 Abr,13:54:34,TDV.D:,890.0,09:49:52
7 Abr,13:54:34,TPG:,21.9,09:54:33
7 Abr,13:59:40,IBC:,6061.01,09:59:11
7 Abr,13:59:40,I.FINANCIE:,11613.36,09:59:11
7 Abr,13:59:40,I.INDUSTR:,2452.05,09:59:11
7 Abr,13:59:40,BNC:,1580.0,09:57:13
7 Abr,13:59:40,BPV:,145.0,09:59:11
7 Abr,13:59:40,BVCC:,615.0,09:58:37
7 Abr,13:59:40,ENV:,847.99,09:56:24
7 Abr,13:59:40,FNC:,1270.0,09:56:24
7 Abr,13:59:40,ICP.B:,144.0,09:56:24
7 Abr,13:59:40,IVC.B:,595.0,09:58:45
7 Abr,13:59:40,MPA:,100.0,09:58:29
7 Abr,13:59:40,MTC.B:,308.0,09:56:52
7 Abr,13:59:40,PTN:,680.0,09:57:07
7 Abr,13:59:40,RST:,568.0,09:58:30
7 Abr,13:59:40,RST.B:,449.0,09:56:52
7 Abr,13:59:40,TPG:,21.9,09:56:24
7 Abr,14:04:57,IBC:,6051.54,10:04:48
7 Abr,14:04:57,I.FINANCIACIÓN:,11590.68,10:04:48
7 Abr,14:04:57,I.INDUSTR:,2452.05,10:04:48
7 Abr,14:04:57,BNC:,1580.0,10:01:06
7 Abr,14:04:57,BPV:,145.0,10:04:48
7 Abr,14:04:57,BVCC:,580.0,10:01:36
7 Abr,14:04:57,FNC:,1100.0,10:03:14
7 Abr,14:04:57,FNV:,370.0,10:01:32
7 Abr,14:04:57,MPA:,100.0,10:04:42
7 Abr,14:04:57,TPG:,21.9,10:00:51
