fecha,accion,precio,variacion_abs,variacion_rel,volumen,monto_efectivo,hora
2026-01-02,GMC.B,3.000,0,0,13,39000,11:56:23
2026-01-05,GMC.B,4.000,1000,33.33,32,112200,12:26:31
2026-01-06,GMC.B,4.000,0,0,3,12000,10:10:53
2026-01-08,GMC.B,4.000,0,0,1,4200,12:35:02
