VOL_CMP,PRE_CMP,VOL_VTA,PRE_VTA
2,3395.0,105,3999.99
4,3300.0,45,4000.0
1,2749.96,5,4199.0
0,0.0,6,4200.0
0,0.0,50,4700.0
0,0.0,2,4997.54
