VOL_CMP,PRE_CMP,VOL_VTA,PRE_VTA
153,149.25,179,150.0
428,144.0,377,155.0
22,143.6,10316,160.0
632,143.5,18000,163.0
74,143.0,6551,170.0
78,142.51,2,170.5
