VOL_CMP,PRE_CMP,VOL_VTA,PRE_VTA
238,450.0,45,479.8
323,410.0,4781,480.0
6,406.0,371,486.99
200,405.11,500,487.0
272,405.0,1500,495.0
50,325.0,1600,498.0
