VOL_CMP,PRE_CMP,VOL_VTA,PRE_VTA
28,825.0,807,860.0
2500,800.01,901,863.0
533,800.0,555,863.98
3,790.0,271,864.0
4990,785.0,5163,867.0
10001,750.0,1000,870.0
