VOL_CMP,PRE_CMP,VOL_VTA,PRE_VTA
156,7000.01,91,7499
200,7000.0,82,7500
499,6500.0,109,7600
1000,5800.0,0,0
0,0.0,0,0
0,0.0,0,0
