VOL_CMP,PRE_CMP,VOL_VTA,PRE_VTA
10,6500.0,61,6850
5,6400.0,246,6899
1,6350.0,500,6900
150,6315.0,135,7500
5,6300.0,250,7650
400,6155.01,0,0
