VOL_CMP,PRE_CMP,VOL_VTA,PRE_VTA
4,373.99,158,374.99
50,350.0,1211,375.0
1,326.43,3953,400.0
0,0.0,200,402.8
0,0.0,34,403.0
0,0.0,1130,430.0
