VOL_CMP,PRE_CMP,VOL_VTA,PRE_VTA
30,13.0,796,13.57
20,12.9,8688,13.6
50,12.2,549,14.0
958,12.0,10000,14.9
25,11.1,1300,15.0
12927,11.0,2,16.18
