VOL_CMP,PRE_CMP,VOL_VTA,PRE_VTA
2,1940,105,1950.0
5,1930,599,1970.0
5,1900,176,1980.0
1,1800,100,1990.0
500,1776,5000,1994.0
2500,1700,43,1994.95
