VOL_CMP,PRE_CMP,VOL_VTA,PRE_VTA
40,682.0,9956,817.0
4,681.0,175,818.0
24,680.03,248,818.95
55,680.0,181,819.0
66,670.0,30,820.0
30,580.0,545,824.95
