VOL_CMP,PRE_CMP,VOL_VTA,PRE_VTA
5,80.0,275,80.32
3947,75.0,477,80.64
76,74.9,493,81.28
2500,74.0,138,85.0
100,73.0,50000,87.0
2587,70.0,456,87.72
