VOL_CMP,PRE_CMP,VOL_VTA,PRE_VTA
2498,471.0,2213,530.0
502,470.0,966,540.0
500,460.0,920,549.55
46,430.01,1950,569.5
300,430.0,355,579.0
0,0.0,0,0.0
